2026-06-10 16:23:01.381 debug_ui.py[27] <module> -> Find Control Timeout(1s): {Name: '微信', ControlType: WindowControl}
2026-06-10 16:23:27.518 debug_ui.py[39] <module> -> 2026-06-10 16:27:42.693 debug_ui.py[39] <module> -> 2026-06-10 16:28:22.743 seeker.py[26] get_window -> Find Control Timeout(1s): {Name: '微信', ControlType: WindowControl}
2026-06-10 16:35:29.388 seeker.py[93] get_chat_lines -> Find Control Timeout(1s): {Name: '消息', ControlType: ListControl}
2026-06-10 16:35:32.973 writer.py[14] send_msg -> 2026-06-10 16:41:17.996 agent.py[86] execute -> Find Control Timeout(1s): {Name: '文件传输助手', ControlType: ButtonControl}
2026-06-10 17:48:14.938 agent.py[32] execute -> Find Control Timeout(1s): {ClassName: 'mmui::XTableView', ControlType: ListControl}
2026-06-10 17:56:11.623 writer.py[14] send_msg -> Find Control Timeout(1s): {Name: '腾讯新闻', ControlType: EditControl}
2026-06-10 18:30:54.708 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
2026-06-10 18:31:02.652 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
2026-06-10 18:31:11.430 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
2026-06-10 18:31:20.784 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
2026-06-10 18:31:32.594 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
2026-06-10 18:31:40.432 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
2026-06-10 18:31:49.353 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
2026-06-10 18:31:58.401 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
2026-06-10 18:32:06.443 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
2026-06-10 18:32:14.381 writer.py[19] send_msg -> Find Control Timeout(1s): {Name: '石榴', ControlType: EditControl}
